budget_month,category,budget_amount,currency,notes
2025-01,Income,3700.00,EUR,Synthetic monthly budget
2025-01,Housing,1050.00,EUR,Synthetic monthly budget
2025-01,Food & Dining,260.00,EUR,Synthetic monthly budget
2025-01,Transport,140.00,EUR,Synthetic monthly budget
2025-01,Utilities,60.00,EUR,Synthetic monthly budget
2025-01,Entertainment,20.00,EUR,Synthetic monthly budget
2025-01,Health,130.00,EUR,Synthetic monthly budget
2025-01,Insurance,25.00,EUR,Synthetic monthly budget
2025-01,Household,40.00,EUR,Synthetic monthly budget
2025-01,Education,35.00,EUR,Synthetic monthly budget
2025-01,Shopping,50.00,EUR,Synthetic monthly budget
2025-01,Technology,15.00,EUR,Synthetic monthly budget
2025-01,Discretionary,40.00,EUR,Synthetic monthly budget
2025-01,Savings,300.00,EUR,Synthetic monthly budget
2025-02,Income,3750.00,EUR,Synthetic monthly budget
2025-02,Housing,1040.00,EUR,Synthetic monthly budget
2025-02,Food & Dining,270.00,EUR,Synthetic monthly budget
2025-02,Transport,145.00,EUR,Synthetic monthly budget
2025-02,Utilities,60.00,EUR,Synthetic monthly budget
2025-02,Entertainment,20.00,EUR,Synthetic monthly budget
2025-02,Health,120.00,EUR,Synthetic monthly budget
2025-02,Insurance,25.00,EUR,Synthetic monthly budget
2025-02,Household,45.00,EUR,Synthetic monthly budget
2025-02,Education,20.00,EUR,Synthetic monthly budget
2025-02,Shopping,35.00,EUR,Synthetic monthly budget
2025-02,Technology,15.00,EUR,Synthetic monthly budget
2025-02,Discretionary,30.00,EUR,Synthetic monthly budget
2025-02,Savings,300.00,EUR,Synthetic monthly budget
